Date,Actual,LSTM_Pred
2021-03-12 23:59:59,57332.08896391,47429.586
2021-03-13 23:59:59,61243.08476552,47441.59
2021-03-14 23:59:59,59302.31697742,49048.527
2021-03-15 23:59:59,55907.20022619,48815.75
2021-03-16 23:59:59,56804.90123161,46424.902
2021-03-17 23:59:59,58870.89333325,45478.9
2021-03-18 23:59:59,57858.92070527,46507.78
2021-03-19 23:59:59,58346.65297359,46839.816
2021-03-20 23:59:59,58313.64260857,47100.79
2021-03-21 23:59:59,57523.42098673,47162.918
2021-03-22 23:59:59,54529.14561107,46718.082
2021-03-23 23:59:59,54738.94493032,44873.586
2021-03-24 23:59:59,52774.26369049,44014.625
2021-03-25 23:59:59,51704.1619252,42951.316
2021-03-26 23:59:59,55137.31372578,42052.848
2021-03-27 23:59:59,55973.51084173,43614.645
2021-03-28 23:59:59,55950.7457745,45299.53
2021-03-29 23:59:59,57750.19987147,46008.645
2021-03-30 23:59:59,58917.6930451,46947.773
2021-03-31 23:59:59,58918.83271375,47868.844
2021-04-01 23:59:59,59095.80797806,48103.18
2021-04-02 23:59:59,59384.3133586,48021.156
2021-04-03 23:59:59,57603.88917376,47976.035
2021-04-04 23:59:59,58758.55629127,46969.562
2021-04-05 23:59:59,59057.87896588,46967.285
2021-04-06 23:59:59,58192.35868406,47333.92
2021-04-07 23:59:59,56048.93781271,47113.34
2021-04-08 23:59:59,58323.95357975,45798.438
2021-04-09 23:59:59,58245.00300108,46278.9
2021-04-10 23:59:59,59793.23541009,46835.254
2021-04-11 23:59:59,60204.96491379,47893.996
2021-04-12 23:59:59,59893.45188869,48599.68
2021-04-13 23:59:59,63503.45793019,48576.605
2021-04-14 23:59:59,63109.69593464,50227.574
2021-04-15 23:59:59,63314.01084504,50891.652
2021-04-16 23:59:59,61572.78960116,50934.113
2021-04-17 23:59:59,60683.82123331,49794.867
2021-04-18 23:59:59,56216.18500243,48606.992
2021-04-19 23:59:59,55724.26709807,45811.574
2021-04-20 23:59:59,56473.0322808,44275.95
2021-04-21 23:59:59,53906.08804584,44496.527
2021-04-22 23:59:59,51762.27205146,43800.617
2021-04-23 23:59:59,51093.65070999,42379.24
2021-04-24 23:59:59,50050.86821565,41459.383
2021-04-25 23:59:59,49004.25326318,40813.188
2021-04-26 23:59:59,54021.75478737,40226.688
2021-04-27 23:59:59,55033.11801332,42666.055
2021-04-28 23:59:59,54824.70489507,44936.496
2021-04-29 23:59:59,53555.10849133,45686.168
2021-04-30 23:59:59,57750.17734563,44877.027
2021-05-01 23:59:59,57828.05063222,46271.73
2021-05-02 23:59:59,56631.07741255,47225.684
2021-05-03 23:59:59,57200.29122289,46776.617
2021-05-04 23:59:59,53333.53775274,46500.19
2021-05-05 23:59:59,57424.00594813,44351.133
2021-05-06 23:59:59,56396.51416376,45252.785
2021-05-07 23:59:59,57356.40187692,45747.156
2021-05-08 23:59:59,58803.77580865,46379.97
2021-05-09 23:59:59,58232.3161419,47391.92
2021-05-10 23:59:59,55859.79754454,47520.844
2021-05-11 23:59:59,56704.5730585,46083.883
2021-05-12 23:59:59,49150.53387514,45609.758
2021-05-13 23:59:59,49716.19160254,41690.016
2021-05-14 23:59:59,49880.53342038,39845.016
2021-05-15 23:59:59,46760.18656071,39822.574
2021-05-16 23:59:59,46456.05847448,38832.6
2021-05-17 23:59:59,43537.51138918,38248.227
2021-05-18 23:59:59,42909.40092517,36779.27
2021-05-19 23:59:59,37002.4404659,35791.88
2021-05-20 23:59:59,40782.73826245,32671.31
2021-05-21 23:59:59,37304.69067136,32858.957
2021-05-22 23:59:59,37536.63111241,32198.47
2021-05-23 23:59:59,34770.58362292,31972.418
2021-05-24 23:59:59,38705.97863723,30754.477
2021-05-25 23:59:59,38402.22385137,31957.377
2021-05-26 23:59:59,39294.19738214,33054.28
2021-05-27 23:59:59,38436.96853505,34007.33
2021-05-28 23:59:59,35697.60639024,33971.45
2021-05-29 23:59:59,34616.06800347,32323.31
2021-05-30 23:59:59,35678.12920411,30625.855
2021-05-31 23:59:59,37332.85368874,30387.264
2021-06-01 23:59:59,36684.92451667,31488.4
2021-06-02 23:59:59,37575.17957566,32095.572
2021-06-03 23:59:59,39208.76599489,32702.285
2021-06-04 23:59:59,36894.40532994,33760.453
2021-06-05 23:59:59,35551.95872588,33200.22
2021-06-06 23:59:59,35862.37772747,31832.99
2021-06-07 23:59:59,33560.70783776,31140.951
2021-06-08 23:59:59,33472.63174808,29899.666
2021-06-09 23:59:59,37345.12148619,29199.496
2021-06-10 23:59:59,36702.59937466,30912.121
2021-06-11 23:59:59,37334.39952553,32100.078
2021-06-12 23:59:59,35552.51714847,32836.316
2021-06-13 23:59:59,39097.86089667,32162.912
2021-06-14 23:59:59,40218.47785943,33159.066
2021-06-15 23:59:59,40406.26898673,34543.82
2021-06-16 23:59:59,38347.06322666,35311.758
2021-06-17 23:59:59,38053.50417253,34409.004
2021-06-18 23:59:59,35787.24478177,33369.098
2021-06-19 23:59:59,35615.86927002,31721.83
2021-06-20 23:59:59,35698.29644336,30773.717
2021-06-21 23:59:59,31676.69373254,30616.283
2021-06-22 23:59:59,32505.6598245,28887.037
2021-06-23 23:59:59,33723.0289781,28168.99
2021-06-24 23:59:59,34662.43589358,28747.293
2021-06-25 23:59:59,31637.780055409996,29888.12
2021-06-26 23:59:59,32186.277670929998,29209.072
2021-06-27 23:59:59,34649.64458753,28679.781
2021-06-28 23:59:59,34434.33531428,29638.117
2021-06-29 23:59:59,35867.77773549,30402.29
2021-06-30 23:59:59,35040.83724889,31387.814
2021-07-01 23:59:59,33572.11765253,31480.463
2021-07-02 23:59:59,33897.04858963,30539.87
2021-07-03 23:59:59,34668.54840182,29951.158
2021-07-04 23:59:59,35287.77976616,30123.389
2021-07-05 23:59:59,33746.00245614,30706.652
2021-07-06 23:59:59,34235.19345116,30362.73
