Date,Actual,ARIMA_Pred,SARIMA_Pred
2020-12-22 23:59:59,23783.02850288,11880.661079293493,11471.229674670374
2020-12-23 23:59:59,23241.34486501,11880.661079293493,11475.155603138453
2020-12-24 23:59:59,23735.94972763,11880.661079293493,11476.801586473908
2020-12-25 23:59:59,24664.79027412,11880.661079293493,11472.936206142593
2020-12-26 23:59:59,26437.0375091,11880.661079293493,11468.761668029203
2020-12-27 23:59:59,26272.29456706,11880.661079293493,11471.508866551665
2020-12-28 23:59:59,27084.80788628,11880.661079293493,11474.397760162174
2020-12-29 23:59:59,27362.4365573,11880.661079293493,11474.816538415293
2020-12-30 23:59:59,28840.95341968,11880.661079293493,11469.801404925198
2020-12-31 23:59:59,29001.71982218,11880.661079293493,11467.436920863674
2021-01-01 23:59:59,29374.15188907,11880.661079293493,11470.270555707522
2021-01-02 23:59:59,32127.26793922,11880.661079293493,11473.520281116818
2021-01-03 23:59:59,32782.02446581,11880.661079293493,11473.453604311853
2021-01-04 23:59:59,31971.91352155,11880.661079293493,11468.148542682347
2021-01-05 23:59:59,33992.42934365,11880.661079293493,11466.788663303818
2021-01-06 23:59:59,36824.36441009,11880.661079293493,11469.15304870727
2021-01-07 23:59:59,39371.04235311,11880.661079293493,11472.213565708305
2021-01-08 23:59:59,40797.61071993,11880.661079293493,11470.863811038047
2021-01-09 23:59:59,40254.54649816,11880.661079293493,11466.802644292988
2021-01-10 23:59:59,38356.43950662,11880.661079293493,11466.829980411294
2021-01-11 23:59:59,35566.65594049,11880.661079293493,11468.970425048656
2021-01-12 23:59:59,33922.9605815,11880.661079293493,11471.152265690052
2021-01-13 23:59:59,37316.35939997,11880.661079293493,11468.503506334713
2021-01-14 23:59:59,39187.32812109,11880.661079293493,11465.47302842188
2021-01-15 23:59:59,36825.36585131,11880.661079293493,11465.914989308889
2021-01-16 23:59:59,36178.13890106,11880.661079293493,11468.719002385329
2021-01-17 23:59:59,35791.27792129,11880.661079293493,11470.431980113062
2021-01-18 23:59:59,36630.07568284,11880.661079293493,11467.117412456017
2021-01-19 23:59:59,36069.80639361,11880.661079293493,11464.675428198649
2021-01-20 23:59:59,35547.7508855,11880.661079293493,11465.175738999304
2021-01-21 23:59:59,30825.69850603,11880.661079293493,11468.157873181433
2021-01-22 23:59:59,33005.76356216,11880.661079293493,11468.760155293141
2021-01-23 23:59:59,32067.64288212,11880.661079293493,11465.907218492935
2021-01-24 23:59:59,32289.37808687,11880.661079293493,11464.429743174
